domain,dataset,unit_id,unit_label,shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Natural images,CIFAR-10,cifar10_test_05453,class2_test5453,32x32x3,"(20,20,3)",0,0.0037167153786867857,0.003716905601322651,-0.005118030747149172,0.28551970682793676,0.28509740179567145,0.1479074901543688,-5.4956003300550466e-05,boundary,2489,2494,0.0028056001756340265,0.08293320005759597,ok,link_refresh_rmse=0.0037167389; p_max=4
Natural images,CIFAR-10,cifar10_test_05481,class7_test5481,32x32x3,"(20,20,3)",0,0.005443168804049492,0.005145748145878315,5.46410866313586,0.42660050417158224,0.41411093720167175,2.927696251593525,0.022073572701927426,moderate,2489,2494,0.002795199863612652,0.08123259991407394,ok,link_refresh_rmse=0.0054293536; p_max=4
Natural images,CIFAR-10,cifar10_test_05493,class3_test5493,32x32x3,"(20,20,3)",0,0.00629074964672327,0.00613829493522644,2.423474467406928,1.088501366734493,1.0769917083206686,1.0573857567449225,0.007901035302190794,boundary,2489,2494,0.00451879994943738,0.08555170008912683,ok,link_refresh_rmse=0.0062850299; p_max=4
Natural images,CIFAR-10,cifar10_test_05494,class9_test5494,32x32x3,"(20,20,3)",0,0.007956176996231079,0.0077890814282000065,2.100199230236173,0.3917536868451811,0.3917304688908181,0.005926671564975711,0.005909270313277675,boundary,2489,2494,0.005523999920114875,0.08875970006920397,ok,link_refresh_rmse=0.007950766; p_max=4
Natural images,CIFAR-10,cifar10_test_05501,class6_test5501,32x32x3,"(20,20,3)",0,0.010127664543688297,0.0094756493344903,6.437962142065054,0.9893314451094304,0.9637351781895802,2.5872286832062596,0.023819890842841775,moderate,2489,2494,0.0056598000228405,0.08674870012328029,ok,link_refresh_rmse=0.010099929; p_max=4
Natural images,CIFAR-10,cifar10_test_05508,class7_test5508,32x32x3,"(20,20,3)",0,0.006836784537881613,0.006670965813100338,2.425390530628803,0.4317062226603499,0.42545465159240237,1.4481077037580825,0.011715187488377245,moderate,2489,2494,0.004299799911677837,0.08411910012364388,ok,link_refresh_rmse=0.0068275696; p_max=4
Natural images,CIFAR-10,cifar10_test_05511,class3_test5511,32x32x3,"(20,20,3)",0,0.009457433596253395,0.009398084133863449,0.6275429986995367,0.5872526160407456,0.582985176739329,0.7266786362209254,0.003995378217909764,boundary,2489,2494,0.0029676000121980906,0.09102750010788441,ok,link_refresh_rmse=0.0094530843; p_max=4
Natural images,CIFAR-10,cifar10_test_05548,class8_test5548,32x32x3,"(20,20,3)",0,0.0018931926460936666,0.0019323639571666718,-2.0690610199564015,0.20853157868665137,0.2071659733062517,0.6548674253560868,-0.0007530606021595059,boundary,2489,2494,0.0025818999856710434,0.07671860000118613,ok,link_refresh_rmse=0.0018933568; p_max=4
Natural images,CIFAR-10,cifar10_test_05557,class4_test5557,32x32x3,"(20,20,3)",0,0.012010008096694946,0.01109852734953165,7.589343319544702,1.1177821542243607,1.0296550165682847,7.884106694942555,0.05951575268052457,effective,2489,2494,0.004059699829667807,0.0783923000562936,ok,link_refresh_rmse=0.011927997; p_max=4
Natural images,CIFAR-10,cifar10_test_05558,class7_test5558,32x32x3,"(20,20,3)",0,0.011403579264879227,0.010887893848121166,4.522136469435257,2.563829954139984,2.2811327312805973,11.026363991219347,0.016450979096731606,moderate,2489,2494,0.0033893000800162554,0.07535509997978806,ok,link_refresh_rmse=0.011382001; p_max=4
Natural images,CIFAR-10,cifar10_test_05576,class5_test5576,32x32x3,"(20,20,3)",0,0.005738086998462677,0.005712724290788174,0.44200632861262634,0.5218771161814839,0.5200451559046781,0.35103288111385555,0.002356039992314603,boundary,2489,2494,0.002968600019812584,0.08289249986410141,ok,link_refresh_rmse=0.0057365308; p_max=4
Natural images,CIFAR-10,cifar10_test_05578,class3_test5578,32x32x3,"(20,20,3)",0,0.005983205046504736,0.005679566878825426,5.074841415583592,1.2367806542558664,1.1583067427364564,6.3450144736154,0.012911165803372225,moderate,2489,2494,0.0026934000197798014,0.08108660019934177,ok,link_refresh_rmse=0.0059743179; p_max=4
Natural images,CIFAR-10,cifar10_test_05582,class4_test5582,32x32x3,"(20,20,3)",0,0.004878456704318523,0.004889060743153095,-0.2173646191260629,0.25989354127102515,0.2571264295189748,1.0647097032568131,-4.062534393429854e-05,boundary,2489,2494,0.003663100069388747,0.09312300011515617,ok,link_refresh_rmse=0.0048784795; p_max=4
Natural images,CIFAR-10,cifar10_test_05587,class0_test5587,32x32x3,"(20,20,3)",0,0.0024458379484713078,0.0024743760004639626,-1.1668006055140159,0.23246762407765678,0.23253246044721998,-0.027890494351823933,-0.0013691557977646503,boundary,2489,2494,0.004883300047367811,0.09146280004642904,ok,link_refresh_rmse=0.0024462235; p_max=4
Natural images,CIFAR-10,cifar10_test_05590,class4_test5590,32x32x3,"(20,20,3)",0,0.006307769566774368,0.006286666728556156,0.3345530935272193,0.26802940506475825,0.2662472669184192,0.6649039667526256,-0.0008662481389202837,boundary,2489,2494,0.003784900065511465,0.08487659995444119,ok,link_refresh_rmse=0.0063083987; p_max=4
Natural images,CIFAR-10,cifar10_test_05594,class9_test5594,32x32x3,"(20,20,3)",0,0.006327385548502207,0.006168081890791655,2.517685329737208,0.5790261930364797,0.5719108210898998,1.2288514806672453,0.005474210435798777,boundary,2489,2494,0.004074599826708436,0.08434579987078905,ok,link_refresh_rmse=0.006323399; p_max=4
Natural images,CIFAR-10,cifar10_test_05598,class1_test5598,32x32x3,"(20,20,3)",0,0.020294534042477608,0.01699669472873211,16.249889289613325,3.0817985753054287,2.514998990291238,18.391843956187714,0.10627363248088577,effective,2489,2494,0.003163200104609132,0.090759800048545,ok,link_refresh_rmse=0.020047739; p_max=4
Natural images,CIFAR-10,cifar10_test_05610,class8_test5610,32x32x3,"(20,20,3)",0,0.010055450722575188,0.00937650166451931,6.75204997555793,0.8255516537922164,0.8093366302542935,1.964144031865036,0.027555119502321576,moderate,2489,2494,0.0044790999963879585,0.08545559993945062,ok,link_refresh_rmse=0.010023601; p_max=4
Natural images,CIFAR-10,cifar10_test_05614,class8_test5614,32x32x3,"(20,20,3)",0,0.0024894101079553366,0.002536112442612648,-1.8760402116174482,0.18365825256000173,0.1836123497242731,0.024993614547020104,-0.0018357796062306337,boundary,2489,2494,0.0028254000935703516,0.09880980011075735,ok,link_refresh_rmse=0.0024899363; p_max=4
Natural images,CIFAR-10,cifar10_test_05624,class1_test5624,32x32x3,"(20,20,3)",0,0.008657746948301792,0.007771847303956747,10.23245019327821,0.9310474853949255,0.8692353110247251,6.638992676510092,0.04085414027046619,effective,2489,2494,0.006816900102421641,0.0800437000580132,ok,link_refresh_rmse=0.0086171208; p_max=4
Natural images,CIFAR-10,cifar10_test_05629,class6_test5629,32x32x3,"(20,20,3)",0,0.010253730230033398,0.009941334836184978,3.0466511878126687,1.1997702198551696,1.1766646564029801,1.9258323860529472,0.012569473628620015,moderate,2489,2494,0.003392699873074889,0.09504129993729293,ok,link_refresh_rmse=0.010238903; p_max=4
Natural images,CIFAR-10,cifar10_test_05640,class2_test5640,32x32x3,"(20,20,3)",0,0.004424829035997391,0.004164533689618111,5.8826079891831915,0.23716393874747743,0.22720377642950654,4.199695101444606,0.01231234505633905,moderate,2489,2494,0.004435400012880564,0.09055699990130961,ok,link_refresh_rmse=0.0044185612; p_max=4
Natural images,CIFAR-10,cifar10_test_05643,class5_test5643,32x32x3,"(20,20,3)",0,0.007657288573682308,0.00708676315844059,7.450749828112573,0.44969339065858116,0.4293092022472169,4.532908162495199,0.024679882556743783,moderate,2489,2494,0.0026666000485420227,0.08103210013359785,ok,link_refresh_rmse=0.0076355622; p_max=4
Natural images,CIFAR-10,cifar10_test_05650,class5_test5650,32x32x3,"(20,20,3)",0,0.008777381852269173,0.008462132886052132,3.591605919885339,0.7390543940278466,0.7166560301852154,3.030678665011391,0.02214973810631723,moderate,2489,2494,0.002699499949812889,0.10092809982597828,ok,link_refresh_rmse=0.0087550273; p_max=4
Natural images,CIFAR-10,cifar10_test_05657,class2_test5657,32x32x3,"(20,20,3)",0,0.008043147623538971,0.007481171749532223,6.987014292291204,0.531092610257183,0.49344808378566324,7.088128462809964,0.015975875214864276,moderate,2489,2494,0.0026819000486284494,0.10408259998075664,ok,link_refresh_rmse=0.0080283675; p_max=4
Natural images,CIFAR-10,cifar10_test_05669,class0_test5669,32x32x3,"(20,20,3)",0,0.0082379886880517,0.008042273111641407,2.375768938529347,1.3125886754843006,1.2992901051282162,1.013155956962502,0.006180682970527712,boundary,2489,2494,0.002822799840942025,0.10694880015216768,ok,link_refresh_rmse=0.0082321288; p_max=4
Natural images,CIFAR-10,cifar10_test_05682,class5_test5682,32x32x3,"(20,20,3)",0,0.006330482196062803,0.0062065101228654385,1.9583353899086602,0.7888241036332775,0.7815411977177658,0.923261077085131,0.007052085321014486,boundary,2489,2494,0.004155099857598543,0.09964859997853637,ok,link_refresh_rmse=0.0063253446; p_max=4
Natural images,CIFAR-10,cifar10_test_05688,class8_test5688,32x32x3,"(20,20,3)",0,0.0048981234431266785,0.004791365470737219,2.1795688415992944,0.24583562207756535,0.2414323412209257,1.7911484183729676,0.0030674203747519365,boundary,2489,2494,0.003580999793484807,0.10483820014633238,ok,link_refresh_rmse=0.004896394; p_max=4
Natural images,CIFAR-10,cifar10_test_05700,class3_test5700,32x32x3,"(20,20,3)",0,0.008039450272917747,0.007296509109437466,9.241193592340576,0.6606799267922496,0.6358767759408414,3.754185626893975,0.046032047355946334,effective,2489,2494,0.008392200106754899,0.10515979980118573,ok,link_refresh_rmse=0.0079969568; p_max=4
Natural images,CIFAR-10,cifar10_test_05703,class0_test5703,32x32x3,"(20,20,3)",0,0.007958111353218555,0.00778512516990304,2.1737090075467904,0.7764517717975188,0.773115364574506,0.42969922205069305,0.007909883667212481,boundary,2489,2494,0.004951100097969174,0.10728270001709461,ok,link_refresh_rmse=0.0079508675; p_max=4
Natural images,CIFAR-10,cifar10_test_05713,class5_test5713,32x32x3,"(20,20,3)",0,0.005796610377728939,0.005614075809717178,3.148988048482157,1.3494724570058607,1.3296074913759024,1.4720541739720774,0.007503535976421953,boundary,2489,2494,0.0037789999041706324,0.0935774000827223,ok,link_refresh_rmse=0.005791605; p_max=4
Natural images,CIFAR-10,cifar10_test_05752,class3_test5752,32x32x3,"(20,20,3)",0,0.005716304760426283,0.005575611721724272,2.4612585332402603,0.5995907741917293,0.5840664027657086,2.5891611569487756,0.008191855289764583,boundary,2489,2494,0.004666599910706282,0.09647489991039038,ok,link_refresh_rmse=0.0057109161; p_max=4
Natural images,CIFAR-10,cifar10_test_05754,class3_test5754,32x32x3,"(20,20,3)",0,0.003304840764030814,0.0032614863011986017,1.3118472546112727,0.9706406059893331,0.9558752033818887,1.5212018244790675,0.004733367732382448,boundary,2489,2494,0.002945300191640854,0.09424349991604686,ok,link_refresh_rmse=0.0033030403; p_max=4
Natural images,CIFAR-10,cifar10_test_05780,class7_test5780,32x32x3,"(20,20,3)",0,0.009413187392055988,0.00922535452991724,1.995422531344322,0.9643655587653551,0.95466347563595,1.0060586508114597,0.0054913600115824015,boundary,2489,2494,0.0026621001306921244,0.10017150011844933,ok,link_refresh_rmse=0.0094072381; p_max=4
Natural images,CIFAR-10,cifar10_test_05801,class9_test5801,32x32x3,"(20,20,3)",0,0.005138454958796501,0.004817114677280188,6.253636240718864,0.723056792478819,0.6940368973857213,4.013501483557098,0.015492913756900411,moderate,2489,2494,0.0039013999048620462,0.10873300000093877,ok,link_refresh_rmse=0.0051292977; p_max=4
Natural images,CIFAR-10,cifar10_test_05807,class6_test5807,32x32x3,"(20,20,3)",0,0.011300148442387581,0.010596387088298798,6.227894772151217,2.7313941711139718,2.43840846805412,10.726599117708473,0.029030915388291414,moderate,2489,2494,0.003043100005015731,0.09623779985122383,ok,link_refresh_rmse=0.011262443; p_max=4
Natural images,CIFAR-10,cifar10_test_05809,class0_test5809,32x32x3,"(20,20,3)",0,0.006450601387768984,0.006385547108948231,1.0084994392011701,0.3121509016904285,0.309127754532291,0.9684890038009941,0.004827545828912494,boundary,2489,2494,0.0027312999591231346,0.09580840007402003,ok,link_refresh_rmse=0.0064470172; p_max=4
Natural images,CIFAR-10,cifar10_test_05810,class5_test5810,32x32x3,"(20,20,3)",0,0.008874845691025257,0.008177180774509907,7.861149825070968,0.8498371408165026,0.7566060734990687,10.970462791007202,0.05826900363445946,effective,2489,2494,0.004746100166812539,0.1030929998960346,ok,link_refresh_rmse=0.0088155083; p_max=4
Natural images,CIFAR-10,cifar10_test_05817,class3_test5817,32x32x3,"(20,20,3)",0,0.009632655419409275,0.009291923604905605,3.537257377826614,1.4960032121623694,1.4472461427623105,3.259155395099987,0.025334612289205978,moderate,2489,2494,0.0027030000928789377,0.08933559991419315,ok,link_refresh_rmse=0.0096046003; p_max=4
Natural images,CIFAR-10,cifar10_test_05821,class8_test5821,32x32x3,"(20,20,3)",0,0.004751651547849178,0.004705818369984627,0.9645736309367593,0.2558131205061013,0.2545455367086283,0.49551164340797,-0.0005064588453034424,boundary,2489,2494,0.004294699989259243,0.0759294000454247,ok,link_refresh_rmse=0.0047519286; p_max=4
Natural images,CIFAR-10,cifar10_test_05824,class7_test5824,32x32x3,"(20,20,3)",0,0.007935505360364914,0.007475473452359438,5.7971343615137,0.6962631651007265,0.6683122442771514,4.0144190048501995,0.013563358132589033,moderate,2489,2494,0.004654500167816877,0.0909086000174284,ok,link_refresh_rmse=0.0079231234; p_max=4
Natural images,CIFAR-10,cifar10_test_05838,class4_test5838,32x32x3,"(20,20,3)",0,0.00826222263276577,0.00704531092196703,14.728624062643789,11.07872921242533,9.772441133552883,11.790955928477624,0.09385847216484021,effective,2489,2494,0.003100399859249592,0.11145810014568269,ok,link_refresh_rmse=0.0081734229; p_max=4
Natural images,CIFAR-10,cifar10_test_05841,class6_test5841,32x32x3,"(20,20,3)",0,0.008886132389307022,0.008765931241214275,1.3526823912435602,1.5540770591685247,1.5437051175750582,0.6674020140941866,0.006787384503990053,boundary,2489,2494,0.0030273001175373793,0.08261919999495149,ok,link_refresh_rmse=0.0088791912; p_max=4
Natural images,CIFAR-10,cifar10_test_05873,class4_test5873,32x32x3,"(20,20,3)",0,0.008850129321217537,0.008640379644930363,2.370018207353363,0.863959734769151,0.8407653963402513,2.68465502447255,0.008832279613994642,boundary,2489,2494,0.0027851001359522343,0.08244340005330741,ok,link_refresh_rmse=0.0088411346; p_max=4
Natural images,CIFAR-10,cifar10_test_05880,class0_test5880,32x32x3,"(20,20,3)",0,0.004868578165769577,0.004873665980994701,-0.10450310238205095,0.40035321441496513,0.39548883956364034,1.215020805673582,0.0005491582124428548,boundary,2489,2494,0.004720399854704738,0.10464320005849004,ok,link_refresh_rmse=0.0048682704; p_max=4
Natural images,CIFAR-10,cifar10_test_05885,class4_test5885,32x32x3,"(20,20,3)",0,0.010890783742070198,0.010876555927097797,0.13064087313973366,0.6459316789583254,0.6415022050340727,0.6857496030223995,-0.00037509156980943643,boundary,2489,2494,0.0032507998403161764,0.08586950018070638,ok,link_refresh_rmse=0.010891254; p_max=4
Natural images,CIFAR-10,cifar10_test_05899,class1_test5899,32x32x3,"(20,20,3)",0,0.010036174207925797,0.009672772139310837,3.620922286581801,1.4695338896702357,1.4603276646397896,0.62647245464424,0.013775334776183798,moderate,2489,2494,0.002908499911427498,0.09225959982722998,ok,link_refresh_rmse=0.01002027; p_max=4
Natural images,CIFAR-10,cifar10_test_05901,class5_test5901,32x32x3,"(20,20,3)",0,0.009006146341562271,0.008581742644309998,4.71237842642754,1.1624889941709424,1.1481573063287673,1.232845034579969,0.019489542922814806,moderate,2489,2494,0.003236900083720684,0.10855949996039271,ok,link_refresh_rmse=0.0089859609; p_max=4
Natural images,CIFAR-10,cifar10_test_05909,class1_test5909,32x32x3,"(20,20,3)",0,0.015564754605293274,0.014377579092979431,7.6273320230189,3.013546918759093,2.5712793073747333,14.675982266321409,0.03410875746633741,effective,2489,2494,0.007156600011512637,0.10068479995243251,ok,link_refresh_rmse=0.015503753; p_max=4
Natural images,CIFAR-10,cifar10_test_05915,class5_test5915,32x32x3,"(20,20,3)",0,0.010292419232428074,0.009232928045094013,10.293898484002163,0.8959454735138062,0.7622297480564284,14.924538312912995,0.04984409722728614,effective,2489,2494,0.005071300081908703,0.09003819990903139,ok,link_refresh_rmse=0.010233525; p_max=4
Natural images,CIFAR-10,cifar10_test_05937,class1_test5937,32x32x3,"(20,20,3)",0,0.014299681410193443,0.013341590762138367,6.700083873002285,1.0852291467220996,1.011195921586997,6.821897970462515,0.028151934068081932,moderate,2489,2494,0.0048004998825490475,0.09627380012534559,ok,link_refresh_rmse=0.01425341; p_max=4
Natural images,CIFAR-10,cifar10_test_05952,class9_test5952,32x32x3,"(20,20,3)",0,0.009461496025323868,0.0092920558527112,1.7908391247975728,1.177448950692918,1.149062344084122,2.4108566738363346,0.007077820783560116,boundary,2489,2494,0.002690100111067295,0.09038769989274442,ok,link_refresh_rmse=0.0094537893; p_max=4
Natural images,CIFAR-10,cifar10_test_05962,class6_test5962,32x32x3,"(20,20,3)",0,0.016607189550995827,0.015435262583196163,7.056744696030705,2.248835500478309,2.016582036362088,10.327721350308753,0.042211238833760704,effective,2489,2494,0.004559899913147092,0.08219360001385212,ok,link_refresh_rmse=0.016526679; p_max=4
Natural images,CIFAR-10,cifar10_test_05968,class0_test5968,32x32x3,"(20,20,3)",0,0.0024463138543069363,0.0024520782753825188,-0.23563702038615233,0.12841440825989164,0.1295461864675977,-0.8813483027663813,-0.005798115872072525,boundary,2489,2494,0.003197799902409315,0.08544329996220767,ok,link_refresh_rmse=0.0024479474; p_max=4
Natural images,CIFAR-10,cifar10_test_05975,class9_test5975,32x32x3,"(20,20,3)",0,0.005514874588698149,0.005369136575609446,2.6426351269595476,0.6985890747398543,0.6818070547021423,2.40227347442578,0.005489132643707473,boundary,2489,2494,0.0029251999221742153,0.10627390001900494,ok,link_refresh_rmse=0.0055113905; p_max=4
Natural images,CIFAR-10,cifar10_test_05987,class3_test5987,32x32x3,"(20,20,3)",0,0.01272496022284031,0.011378010734915733,10.585097826136279,1.9789648246088527,1.7254729318194912,12.8093177623541,0.06632238175387789,effective,2489,2494,0.003530199872329831,0.09649310004897416,ok,link_refresh_rmse=0.012628167; p_max=4
Natural images,CIFAR-10,cifar10_test_05995,class0_test5995,32x32x3,"(20,20,3)",0,0.007591963745653629,0.007204192690551281,5.1076515654378065,0.7258011688363943,0.6929311295022074,4.52879393772323,0.014289673398054554,moderate,2489,2494,0.0032695999834686518,0.093123700004071,ok,link_refresh_rmse=0.007579484; p_max=4
Natural images,CIFAR-10,cifar10_test_05996,class4_test5996,32x32x3,"(20,20,3)",0,0.006625087931752205,0.006421751342713833,3.0691907961528524,0.39486407690262854,0.3855608785152082,2.356050836631171,0.012878483346037466,moderate,2489,2494,0.004298200132325292,0.08709149993956089,ok,link_refresh_rmse=0.0066152723; p_max=4
Natural images,CIFAR-10,cifar10_test_06022,class0_test6022,32x32x3,"(20,20,3)",0,0.005537477321922779,0.004280524328351021,22.699018352553836,0.2619763425817805,0.21053211126277518,19.636975923864608,0.041842648206614874,effective,2489,2494,0.004467800026759505,0.08977649989537895,ok,link_refresh_rmse=0.0055108657; p_max=4
