index,panel,method,x,mean,std,band_lower,band_upper
85,tanh,CP,0.15,0.1830158144235611,0.012454164762079426,0.17056164966148168,0.19546997918564052
86,tanh,CP,0.2,0.21252454966306686,0.01733809866429937,0.1951864509987675,0.22986264832736622
87,tanh,CP,0.25,0.23860029876232147,0.0186128553540964,0.21998744340822507,0.2572131541164179
88,tanh,CP,0.3,0.26234162598848343,0.024716579825408345,0.2376250461630751,0.2870582058138918
89,tanh,CP,0.35,0.28210885226726534,0.028399626576834387,0.253709225690431,0.3105084788440997
90,tanh,CP,0.4,0.2991505652666092,0.02896305964286775,0.27018750562374144,0.328113624909477
91,tanh,NTD-PL,0.1,0.056945642456412315,0.0053607501829577835,0.05158489227345453,0.0623063926393701
92,tanh,NTD-PL,0.15,0.06286679394543171,0.005008137003591356,0.05785865694184035,0.06787493094902307
93,tanh,NTD-PL,0.2,0.06978528499603272,0.0058866962734042665,0.06389858872262845,0.07567198126943699
94,tanh,NTD-PL,0.25,0.0765275314450264,0.00773610672145197,0.06879142472357443,0.08426363816647837
95,tanh,NTD-PL,0.3,0.08573897778987885,0.012787196016769304,0.07295178177310954,0.09852617380664816
96,tanh,NTD-PL,0.35,0.10064347386360169,0.02262427387112702,0.07801919999247467,0.1232677477347287
97,tanh,NTD-PL,0.4,0.1239350363612175,0.04300782176811327,0.08092721459310423,0.16694285812933077
98,tanh,TT,0.1,0.30287100225687025,0.04651321954460676,0.2563577827122635,0.349384221801477
99,tanh,TT,0.15,0.32683331668376925,0.04384434497209344,0.2829889717116758,0.3706776616558627
100,tanh,TT,0.2,0.34967468976974486,0.04178053506292709,0.3078941547068178,0.3914552248326719
101,tanh,TT,0.25,0.3702291876077652,0.039190403688985596,0.3310387839187796,0.40941959129675076
102,tanh,TT,0.3,0.39190387427806855,0.036844870709219046,0.3550590035688495,0.4287487449872876
103,tanh,TT,0.35,0.41352337300777436,0.03489716008295984,0.3786262129248145,0.4484205330907342
104,tanh,TT,0.4,0.4354701697826385,0.03238009104231311,0.40309007874032543,0.4678502608249516
105,tanh,Tucker,0.1,0.15107738822698594,0.01192433440637537,0.13915305382061058,0.1630017226333613
106,tanh,Tucker,0.15,0.18896003663539887,0.014662826282103188,0.17429721035329568,0.20362286291750206
107,tanh,Tucker,0.2,0.22368752360343933,0.017604198401228656,0.20608332520221068,0.24129172200466797
108,tanh,Tucker,0.25,0.25385702699422835,0.019976086385198388,0.23388094060902997,0.27383311337942673
109,tanh,Tucker,0.3,0.2826702922582626,0.021802209618923218,0.2608680826393394,0.30447250187718583
110,tanh,Tucker,0.35,0.3110619246959686,0.023973502284602523,0.28708842241136606,0.33503542698057115
111,tanh,Tucker,0.4,0.33773990273475646,0.025843283881063037,0.3118966188536934,0.3635831866158195
