scene_id,scene_name,target_shape,rank,snr,snr_value,method,params,fit_time_sec,RMSE,SAM,NMSE_dB
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,160.78530849999515,0.0424618236720562,16.60727057915939,-16.83493113252652
5,clay,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.854745199991157,0.009174428880214691,10.28993943309757,-24.941554401668565
5,clay,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,142.37753960001282,0.009080864489078522,10.730362951615902,-25.030591232294018
5,clay,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,21.810140999994474,0.00917466077953577,10.289724423291988,-24.941334198125425
5,clay,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,141.25375170001644,0.009081002324819565,10.728775394921623,-25.030459205879655
5,clay,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,22.068842599983327,0.009176802821457386,10.314206500370272,-24.93930651583746
5,clay,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,141.8561849000107,0.009083086624741554,10.75273667527328,-25.028466094745383
5,clay,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,23.19137009998667,0.009198445826768875,10.422298061726881,-24.91884620548285
5,clay,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,149.5010083000234,0.009101283736526966,10.843471322746122,-25.01108170947319
5,clay,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,27.591946300002746,0.009411945007741451,11.372088752323815,-24.719546913541933
5,clay,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,165.52832089998992,0.009294247254729271,11.63744164102916,-24.82885015649977
6,cloth,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,25.250798799999757,0.07037652283906937,10.808935286398503,-10.214137560510325
6,cloth,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,143.36902019998524,0.06953916698694229,10.621744596176727,-10.318104101332361
6,cloth,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,21.734351599996444,0.07037658244371414,10.80822053759205,-10.21413042200772
6,cloth,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,145.3665429999819,0.06953936815261841,10.621246435625668,-10.318078685377658
6,cloth,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,21.639142900006846,0.0703771635890007,10.811232529371154,-10.214058357781424
6,cloth,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,141.47012250000262,0.0695391520857811,10.622593113134311,-10.318105493991713
6,cloth,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,21.784095600014552,0.07038289308547974,10.839322110838697,-10.213351375955789
6,cloth,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,150.6518700000015,0.0695459321141243,10.619818213594073,-10.317258839503506
6,cloth,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,26.70707180001773,0.07043931633234024,10.915886073787718,-10.206391372712558
6,cloth,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,166.08724779999466,0.06960298120975494,10.644392465885131,-10.310136699821538
7,egyptian_statue,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,25.07354229997145,0.014198197051882744,25.60351624459412,-16.982852231859148
7,egyptian_statue,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,149.3561023999937,0.013497778214514256,25.194581136433875,-17.422269778605546
7,egyptian_statue,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,21.250227899989113,0.014198275282979012,25.60534210167763,-16.982804176235376
7,egyptian_statue,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,146.7492228000192,0.01349717378616333,25.195845716591492,-17.422658984160428
7,egyptian_statue,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,21.031089299998712,0.014198802411556244,25.614764088762463,-16.98248112702109
7,egyptian_statue,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,145.4897220999992,0.013498339802026749,25.198167027283862,-17.421908755727202
