unit_id,dataset,config,lr_core,lr_factors,beta_update_interval,beta_update_stage,tucker_rmse,frozen_link_rmse,ntdpl_rmse,gain_vs_tucker_pct,frozen_gain_pct,beta
harvard_imgh7,Harvard HS,lr_scale_0.03_beta5_before,2.1e-06,6e-06,5,before_grad,0.003914488945156336,0.0039144353941082954,0.003916791640222073,-0.058824921924637244,0.0013680214401078428,"[0.00012221666111145169, 0.9988776445388794, 0.0783950611948967, -0.17317605018615723, 0.11147290468215942]"
harvard_imgh7,Harvard HS,lr_scale_0_beta5_before,0.0,0.0,5,before_grad,0.003914488945156336,0.0039144353941082954,0.003916115500032902,-0.04155216426344952,0.0013680214401078428,"[3.9938495319802314e-05, 0.9980215430259705, 0.01738768257200718, -0.04587529972195625, 0.033168092370033264]"
harvard_imgh7,Harvard HS,lr_scale_1_beta1_before,7e-05,0.0002,1,before_grad,0.003914488945156336,0.0039144353941082954,0.004072945099323988,-4.047939753763278,0.0013680214401078428,"[0.0018943246686831117, 1.73237943649292, 0.05744414031505585, -2.001425266265869, 1.7329726219177246]"
harvard_imgh7,Harvard HS,lr_scale_1_beta10_before,7e-05,0.0002,10,before_grad,0.003914488945156336,0.0039144353941082954,0.004343176260590553,-10.951297128189914,0.0013680214401078428,"[0.00019234762294217944, 0.9656333923339844, 0.3700912296772003, -0.5588247179985046, 0.41455841064453125]"
harvard_imgh7,Harvard HS,lr_scale_1_beta20_before,7e-05,0.0002,20,before_grad,0.003914488945156336,0.0039144353941082954,0.004382382147014141,-11.95285536408939,0.0013680214401078428,"[6.31197399343364e-05, 0.9874387979507446, 0.12627430260181427, -0.16849267482757568, 0.2010616660118103]"
harvard_imgh7,Harvard HS,lr_scale_1_beta5_after,7e-05,0.0002,5,after_grad,0.003914488945156336,0.0039144353941082954,0.004292215220630169,-9.649440342428852,0.0013680214401078428,"[-0.0003113776328973472, 0.9174762964248657, 0.8709230422973633, -1.420511245727539, 0.8945346474647522]"
brdf_steel,BRDF,lr_scale_1_beta5_before,7e-05,0.0002,5,before_grad,0.0064389524050056934,0.005753897596150637,0.004915999248623848,23.65218843981343,10.639227715404289,"[0.00027155561838299036, 1.0540671348571777, 0.395081102848053, -3.1470754146575928, 3.5917720794677734]"
brdf_steel,BRDF,lr_scale_0.3_beta5_before,2.1e-05,6e-05,5,before_grad,0.0064389524050056934,0.005753897596150637,0.005286342464387417,17.900581773554162,10.639227715404289,"[0.0003200545033905655, 1.004624843597412, 0.6710164546966553, -3.1281867027282715, 3.042820453643799]"
brdf_steel,BRDF,lr_scale_0.1_beta5_before,7e-06,2e-05,5,before_grad,0.0064389524050056934,0.005753897596150637,0.005535048898309469,14.03805230791149,10.639227715404289,"[0.00018567618099041283, 0.9965972304344177, 0.6310367584228516, -2.64762020111084, 2.4400203227996826]"
brdf_steel,BRDF,lr_scale_0.03_beta5_before,2.1e-06,6e-06,5,before_grad,0.0064389524050056934,0.005753897596150637,0.00568043626844883,11.780117150224426,10.639227715404289,"[0.00012385730224195868, 0.9879705905914307, 0.6263641119003296, -2.4624881744384766, 2.192063331604004]"
