scene_id,scene_name,difficulty_bin,boundary_bin,difficulty_quartile,boundary_quartile,delta_rmse_missing,delta_sam_missing,pixel_count_rmse,pixel_count_sam
14,superballs,2,2,Q3,Q3,0.0004900246574482002,1.1075183465900136,16322,16322
14,superballs,2,3,Q3,Q4,0.00019258589556733362,0.7914693015531543,14622,14622
14,superballs,3,0,Q4,Q1,0.004787703498711327,5.85819535414438,18615,18615
14,superballs,3,1,Q4,Q2,0.0031023001511173163,2.8092068169072464,12460,12460
14,superballs,3,2,Q4,Q3,0.00225960562008348,2.2399525867102428,10459,10459
14,superballs,3,3,Q4,Q4,0.0025394748222810756,1.3981824927095339,24002,24002
15,thread_spools,0,0,Q1,Q1,0.0012428006524174832,9.103677859352745,36512,36512
15,thread_spools,0,1,Q1,Q2,0.0010354801042023114,3.8664766970363824,17841,17841
15,thread_spools,0,2,Q1,Q3,0.00033756919082360303,2.266085085455532,10109,10109
15,thread_spools,0,3,Q1,Q4,-0.0010188769755371378,-0.13372139383833126,1074,1074
15,thread_spools,1,0,Q2,Q1,0.0024743793779467777,10.751455319313306,19860,19860
15,thread_spools,1,1,Q2,Q2,0.0022811292612009934,6.771333594975388,26346,26346
15,thread_spools,1,2,Q2,Q3,0.0013747288542454777,3.921483991046672,16338,16338
15,thread_spools,1,3,Q2,Q4,-0.0004138095027420637,0.34950096681862663,2992,2992
15,thread_spools,2,0,Q3,Q1,0.004135078547291355,16.160827732419207,8078,8078
15,thread_spools,2,1,Q3,Q2,0.00294872853690679,7.067677745695374,17017,17017
15,thread_spools,2,2,Q3,Q3,0.0016422554075948429,2.615892752562448,22063,22063
15,thread_spools,2,3,Q3,Q4,7.696336903316079e-05,0.3515438960472198,18378,18378
15,thread_spools,3,0,Q4,Q1,0.00805368568305862,20.881007208415372,1086,1086
15,thread_spools,3,1,Q4,Q2,0.005036923222199922,4.4666166006125465,4332,4332
15,thread_spools,3,2,Q4,Q3,0.0031939106434237924,1.9572578055409204,17026,17026
15,thread_spools,3,3,Q4,Q4,0.0020482293566187254,0.776494712070587,43092,43092
