scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,observed_count,x_min,x_max,x_mean,design_cond_raw,design_cond_scaled,polycal_fit_time_sec,a_0,a_1,a_2,a_3,a_4
13,fake_and_real_peppers,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.059941019862890244,1.1680442094802856,0.07688571510261345,954.4986242449643,96.97929331055894,0.5010796999558806,0.001163817440063605,0.9490042750013478,0.22690795019220358,-0.3014209089444938,0.11877875625779911
14,fake_and_real_strawberries,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.05654636770486832,1.111451268196106,0.07305471036697408,59.033194120368215,7.405910949236503,0.3944461999926716,0.00018210836608412474,0.9946866681698928,0.011345165163092186,,
14,fake_and_real_strawberries,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.05654636770486832,1.111451268196106,0.07305471036697408,487.99739894419776,40.789504460013326,0.39420820004306734,0.0006903656377181318,0.9660418662166962,0.1811725760185441,-0.22329915881766657,
14,fake_and_real_strawberries,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.05654636770486832,1.111451268196106,0.07305471036697408,2189.583231872055,131.79721853516764,0.519089300185442,0.0010760290151157318,0.9383707168568556,0.4579191660567348,-1.0573751606427033,0.7617164523622155
15,fake_and_real_sushi,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.11293872445821762,1.2136707305908203,0.03715094496929358,60.39978316040908,5.3030269641812495,0.3620767998509109,0.0002221667135753222,0.9919421109679564,0.014837780330416371,,
15,fake_and_real_sushi,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.11293872445821762,1.2136707305908203,0.03715094496929358,258.40334451697123,19.368139159152992,0.3842499000020325,0.0010167492565780955,0.9477725954148943,0.20373294407466305,-0.17286429767873238,
15,fake_and_real_sushi,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.11293872445821762,1.2136707305908203,0.03715094496929358,1205.351693743708,80.91471469388084,0.475412999978289,0.0011100742656119222,0.9415543816920794,0.2524712481584603,-0.2758917494610443,0.061563535034752606
1,balloons,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.09263322502374649,1.1117732524871826,0.14509074801360156,26.83423473598544,6.380484323866807,0.271968400105834,0.0005562887817503941,0.9944125976588167,0.008122870656188618,,
1,balloons,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.09263322502374649,1.1117732524871826,0.14509074801360156,135.80213614675975,26.009018001452617,0.2986483999993652,0.001860383020894832,0.9645164366041588,0.11755841480163014,-0.08949578859924895,
1,balloons,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.09263322502374649,1.1117732524871826,0.14509074801360156,726.3470253407804,125.32722072820603,0.36797489994205534,0.002203390827240876,0.9527113803030502,0.19464998504827105,-0.24450895309585055,0.09099941170331435
2,beads,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.299949049949646,1.3257533311843872,0.12840339208771184,28.165062835029588,5.9516170005941404,0.2704092999920249,0.008313053683602276,0.8618972275921339,0.24462881687839957,,
2,beads,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.299949049949646,1.3257533311843872,0.12840339208771184,117.93182423168403,19.662188319253445,0.2947207000106573,0.017160460572574428,0.5577782006706643,1.5521981058403909,-1.2059363393905438,
2,beads,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.299949049949646,1.3257533311843872,0.12840339208771184,479.60471925672704,70.44481306964376,0.3595374000724405,0.018912982694705944,0.3972856158744333,2.8387625800125726,-3.9596565861240047,1.6618945161947474
3,cd,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.27090001106262207,1.1902241706848145,0.0730256016131111,34.209971206938654,5.0350013017220085,0.27006160002201796,0.00250836656158545,0.9434464535801371,0.09383947879307579,,
3,cd,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.27090001106262207,1.1902241706848145,0.0730256016131111,175.65346373337053,22.363542296346257,0.30045769992284477,0.005475085083391411,0.8471845853209092,0.4823278097925438,-0.31655532163834804,
3,cd,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.27090001106262207,1.1902241706848145,0.0730256016131111,815.8889568908897,103.1151900892294,0.36308149993419647,-0.00012829192428031181,1.0853806427005257,-1.2204093864445698,3.1530998563595527,-2.005077149350691
4,chart_and_stuffed_toy,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.10363610088825226,1.1171525716781616,0.15840049445831464,22.550081229624894,8.423648194722324,0.27133630006574094,0.0003064966815628248,0.9962169907460708,0.004607264057783617,,
