domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Material reflectance,BRDF,brdf_green-acrylic,green acrylic,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\green-acrylic.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0077410913072526,0.007233879994601,6.552193902898766,,,,0.1772512371212711,effective,6406,6411,0.0651551999617368,1.7396720999386162,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0075847213; p_max=4
Material reflectance,BRDF,brdf_green-fabric,green fabric,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\green-fabric.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.012046031653881,0.0115749444812536,3.910725010220864,,,,0.0447407301102683,moderate,6406,6411,0.0803680000826716,1.7439629000145942,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.011984142; p_max=4
Material reflectance,BRDF,brdf_green-latex,green latex,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\green-latex.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0148572167381644,0.0140798976644873,5.231929286461355,,,,0.0353799947521523,moderate,6406,6411,0.0598559998907148,1.8025911999866369,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.014796822; p_max=4
Material reflectance,BRDF,brdf_green-metallic-paint,green metallic paint,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\green-metallic-paint.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0032053503673523,0.0033388745505362,-4.165665773823036,,,,0.0077322933047313,boundary,6406,6411,0.0546945000533014,1.8186776998918504,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0032024982; p_max=4
Material reflectance,BRDF,brdf_green-metallic-paint2,green metallic paint2,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\green-metallic-paint2.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0037079700268805,0.0034556223545223,6.805547793773677,,,,0.177128656618637,effective,6406,6411,0.073696699924767,1.8692079000175,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0036331203; p_max=4
Material reflectance,BRDF,brdf_green-plastic,green plastic,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\green-plastic.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0031510617118328,0.0031539543997496,-0.0918004209785242,,,,0.0101328195609897,boundary,6406,6411,0.0585384001024067,1.8814151999540627,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0031473879; p_max=4
Material reflectance,BRDF,brdf_hematite,hematite,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\hematite.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0034200455993413,0.0033723562955856,1.3944054946210032,,,,0.0351481198190301,moderate,6406,6411,0.0628482999745756,1.842103300150484,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0034062341; p_max=4
Material reflectance,BRDF,brdf_ipswich-pine-221,ipswich pine 221,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\ipswich-pine-221.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0028386684134602,0.0029643862508237,-4.428760920696444,,,,0.0123836638200456,boundary,6406,6411,0.059560399968177,1.8274165999609977,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0028346241; p_max=4
Material reflectance,BRDF,brdf_light-brown-fabric,light brown fabric,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\light-brown-fabric.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0103557696565985,0.0103305596858263,0.2434388906690572,,,,0.0107090764992756,boundary,6406,6411,0.0585377998650074,1.7031759000383315,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.01034301; p_max=4
Material reflectance,BRDF,brdf_light-red-paint,light red paint,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\light-red-paint.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0025693466886878,0.0026732431724667,-4.043692672397388,,,,0.0054208975174927,boundary,6406,6411,0.0614104999694973,1.788455099798739,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0025677436; p_max=4
