domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g11_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g11_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g11_c05.avi,181x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.04776867851614952,0.044064175337553024,7.755088257976588,2.270356649211618,2.4361053887909683,-7.300559567894619,0.30860354579045823,effective,14985,14990,0.2023458001203835,6.577480399981141,ok,split=train; action=ApplyEyeMakeup; raw_frames=181; sampled_frames=24; link_refresh_rmse=0.046101287; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g12_c01,ApplyEyeMakeup:v_ApplyEyeMakeup_g12_c01,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g12_c01.avi,227x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.034792084246873856,0.03470601513981819,0.2473812906549212,4.774197207821754,4.716625380975925,1.2058954487993572,0.012222595954883822,boundary,14985,14990,0.22226160019636154,6.594538699835539,ok,split=train; action=ApplyEyeMakeup; raw_frames=227; sampled_frames=24; link_refresh_rmse=0.03474316; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g12_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g12_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g12_c02.avi,121x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.031644269824028015,0.031457044184207916,0.5916573233045035,5.0697484036087115,5.084519332864989,-0.2913542858608825,0.022038059156017177,boundary,14985,14990,0.2631389999296516,6.290210400009528,ok,split=train; action=ApplyEyeMakeup; raw_frames=121; sampled_frames=24; link_refresh_rmse=0.031564083; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g12_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g12_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g12_c03.avi,142x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.03557604178786278,0.035493139177560806,0.2330293257364419,4.858608565361907,4.86887016847669,-0.21120456560217862,0.011504068147629894,boundary,14985,14990,0.2514394000172615,6.350927999941632,ok,split=train; action=ApplyEyeMakeup; raw_frames=142; sampled_frames=24; link_refresh_rmse=0.035528954; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g12_c04,ApplyEyeMakeup:v_ApplyEyeMakeup_g12_c04,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g12_c04.avi,209x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.03432043269276619,0.03409237787127495,0.664487023030188,5.094194928179421,5.136989005631788,-0.8400557508242198,0.021999897755588634,boundary,14985,14990,0.21789840003475547,6.283912400016561,ok,split=train; action=ApplyEyeMakeup; raw_frames=209; sampled_frames=24; link_refresh_rmse=0.034233615; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g12_c06,ApplyEyeMakeup:v_ApplyEyeMakeup_g12_c06,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g12_c06.avi,213x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.034948378801345825,0.03476842865347862,0.514902705187209,4.964414792608567,4.926730641070124,0.7590854735698159,0.021302465527577707,boundary,14985,14990,0.23146359995007515,6.343311799922958,ok,split=train; action=ApplyEyeMakeup; raw_frames=213; sampled_frames=24; link_refresh_rmse=0.034862772; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g13_c01,ApplyEyeMakeup:v_ApplyEyeMakeup_g13_c01,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g13_c01.avi,176x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.062141068279743195,0.057123422622680664,8.074604759728901,8.71605560903318,7.885056956768087,9.534113703954114,0.18098630202051627,effective,14985,14990,0.24350850004702806,6.42329840012826,ok,split=train; action=ApplyEyeMakeup; raw_frames=176; sampled_frames=24; link_refresh_rmse=0.060859643; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g13_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g13_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g13_c02.avi,100x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06220976263284683,0.05429829657077789,12.717402747156079,10.254729752261781,9.75720530937319,4.851658258267196,0.30748568529210785,effective,14985,14990,0.2678869999945164,6.484612900065258,ok,split=train; action=ApplyEyeMakeup; raw_frames=100; sampled_frames=24; link_refresh_rmse=0.060046025; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g13_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g13_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g13_c03.avi,169x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06486377120018005,0.058337610214948654,10.061334493010921,7.93321904338597,7.881680874438911,0.649650144099159,0.24748429279196082,effective,14985,14990,0.2688219000119716,6.468233299907297,ok,split=train; action=ApplyEyeMakeup; raw_frames=169; sampled_frames=24; link_refresh_rmse=0.063041709; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g13_c04,ApplyEyeMakeup:v_ApplyEyeMakeup_g13_c04,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g13_c04.avi,121x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06049540266394615,0.0549226738512516,9.21182200183249,8.931977983583547,9.085930508887964,-1.7236106670591094,0.2095472961862404,effective,14985,14990,0.318503700196743,6.445866100024432,ok,split=train; action=ApplyEyeMakeup; raw_frames=121; sampled_frames=24; link_refresh_rmse=0.059053414; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g13_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g13_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g13_c05.avi,120x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06255153566598892,0.05599389225244522,10.483585005106887,8.556740434524045,8.69845921437685,-1.6562238966722653,0.2665395177577076,effective,14985,14990,0.23818959994241595,6.374220500001684,ok,split=train; action=ApplyEyeMakeup; raw_frames=120; sampled_frames=24; link_refresh_rmse=0.0606612; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g13_c06,ApplyEyeMakeup:v_ApplyEyeMakeup_g13_c06,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g13_c06.avi,138x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06095348671078682,0.054126329720020294,11.200601243961875,7.765447534800067,7.271160269458933,6.365212862826469,0.2555857521925304,effective,14985,14990,0.2542337002232671,6.564885100116953,ok,split=train; action=ApplyEyeMakeup; raw_frames=138; sampled_frames=24; link_refresh_rmse=0.059186038; p_max=4
