panel,seed,P,Tucker,NTD-PL,gain_rmse
tanh,0,2,0.27143609523773193,0.27126479148864746,0.00017130374908447266
tanh,0,3,0.27143609523773193,0.10681138932704926,0.16462470591068268
tanh,0,4,0.27143609523773193,0.1059737429022789,0.16546235233545303
tanh,0,5,0.27143609523773193,0.07787089794874191,0.19356519728899002
tanh,0,6,0.27143609523773193,0.0774349719285965,0.19400112330913544
tanh,1,1,0.2494574785232544,0.24876950681209564,0.0006879717111587524
tanh,1,2,0.2494574785232544,0.2487122267484665,0.0007452517747879028
tanh,1,3,0.2494574785232544,0.1135648861527443,0.1358925923705101
tanh,1,4,0.2494574785232544,0.11274402588605881,0.1367134526371956
tanh,1,5,0.2494574785232544,0.07560596615076065,0.17385151237249374
tanh,1,6,0.2494574785232544,0.07499560713768005,0.17446187138557434
tanh,2,1,0.2363591492176056,0.23472271859645844,0.0016364306211471558
tanh,2,2,0.2363591492176056,0.2322440892457962,0.004115059971809387
tanh,2,3,0.2363591492176056,0.11354213207960129,0.1228170171380043
tanh,2,4,0.2363591492176056,0.10485683381557465,0.13150231540203094
tanh,2,5,0.2363591492176056,0.07452966272830963,0.16182948648929596
tanh,2,6,0.2363591492176056,0.0665857121348381,0.1697734370827675
tanh,3,1,0.23996812105178833,0.23966506123542786,0.00030305981636047363
tanh,3,2,0.23996812105178833,0.23919163644313812,0.0007764846086502075
tanh,3,3,0.23996812105178833,0.11047389358282089,0.12949422746896744
tanh,3,4,0.23996812105178833,0.10776250809431076,0.13220561295747757
tanh,3,5,0.23996812105178833,0.09252943843603134,0.147438682615757
tanh,3,6,0.23996812105178833,0.08411315083503723,0.1558549702167511
tanh,4,1,0.24267874658107758,0.24267499148845673,3.7550926208496094e-06
tanh,4,2,0.24267874658107758,0.24210843443870544,0.0005703121423721313
tanh,4,3,0.24267874658107758,0.13523440062999725,0.10744434595108032
tanh,4,4,0.24267874658107758,0.13070069253444672,0.11197805404663086
tanh,4,5,0.24267874658107758,0.09557375311851501,0.14710499346256256
tanh,4,6,0.24267874658107758,0.08863407373428345,0.15404467284679413
tanh,5,1,0.2648144066333771,0.26480501890182495,9.387731552124023e-06
tanh,5,2,0.2648144066333771,0.26420313119888306,0.0006112754344940186
tanh,5,3,0.2648144066333771,0.11023489385843277,0.1545795127749443
tanh,5,4,0.2648144066333771,0.10929611325263977,0.1555182933807373
tanh,5,5,0.2648144066333771,0.07053188979625702,0.19428251683712006
tanh,5,6,0.2648144066333771,0.06938021630048752,0.19543419033288956
tanh,6,1,0.28368887305259705,0.2836838960647583,4.976987838745117e-06
tanh,6,2,0.28368887305259705,0.2836764454841614,1.2427568435668945e-05
tanh,6,3,0.28368887305259705,0.10852859169244766,0.17516028136014938
tanh,6,4,0.28368887305259705,0.10582871735095978,0.17786015570163727
tanh,6,5,0.28368887305259705,0.08658713102340698,0.19710174202919006
tanh,6,6,0.28368887305259705,0.08531986176967621,0.19836901128292084
tanh,7,1,0.2823285758495331,0.28231993317604065,8.64267349243164e-06
tanh,7,2,0.2823285758495331,0.2814907133579254,0.000837862491607666
tanh,7,3,0.2823285758495331,0.10963569581508636,0.17269288003444672
tanh,7,4,0.2823285758495331,0.10389265418052673,0.17843592166900635
tanh,7,5,0.2823285758495331,0.07796110212802887,0.2043674737215042
tanh,7,6,0.2823285758495331,0.06692719459533691,0.21540138125419617
tanh,8,1,0.23050357401371002,0.23045819997787476,4.537403583526611e-05
tanh,8,2,0.23050357401371002,0.22963885962963104,0.0008647143840789795
tanh,8,3,0.23050357401371002,0.1141815185546875,0.11632205545902252
tanh,8,4,0.23050357401371002,0.11315621435642242,0.1173473596572876
tanh,8,5,0.23050357401371002,0.07871436327695847,0.15178921073675156
tanh,8,6,0.23050357401371002,0.07831559330224991,0.1521879807114601
tanh,9,1,0.23733524978160858,0.2367565631866455,0.0005786865949630737
tanh,9,2,0.23733524978160858,0.23624955117702484,0.0010856986045837402
tanh,9,3,0.23733524978160858,0.10831590741872787,0.1290193423628807
tanh,9,4,0.23733524978160858,0.10734748840332031,0.12998776137828827
tanh,9,5,0.23733524978160858,0.07579676061868668,0.1615384891629219
tanh,9,6,0.23733524978160858,0.0735689327120781,0.1637663170695305
exp,0,1,0.2427952140569687,0.24057765305042267,0.0022175610065460205
exp,0,2,0.2427952140569687,0.15293650329113007,0.08985871076583862
exp,0,3,0.2427952140569687,0.12789835035800934,0.11489686369895935
exp,0,4,0.2427952140569687,0.11960717290639877,0.12318804115056992
exp,0,5,0.2427952140569687,0.1176893413066864,0.1251058727502823
exp,0,6,0.2427952140569687,0.11582206189632416,0.12697315216064453
exp,1,1,0.20568282902240753,0.19964973628520966,0.006033092737197876
exp,1,2,0.20568282902240753,0.09592930227518082,0.10975352674722672
exp,1,3,0.20568282902240753,0.07084296643733978,0.13483986258506775
exp,1,4,0.20568282902240753,0.06810950487852097,0.13757332414388657
exp,1,5,0.20568282902240753,0.06694748997688293,0.1387353390455246
exp,1,6,0.20568282902240753,0.06697709858417511,0.13870573043823242
exp,2,1,0.22711636126041412,0.22217489778995514,0.004941463470458984
