dataset_key,dataset,shape,rank,p_max,n_iter_max,lr_core,lr_factors,lambda_beta,tucker_time_sec,ntdpl_time_sec,tucker_rmse,tucker_nmse_db,tucker_psnr,tucker_ssim,tucker_sam,ntdpl_rmse,ntdpl_nmse_db,ntdpl_psnr,ntdpl_ssim,ntdpl_sam,gain_rmse_pct,delta_nmse_db,delta_psnr,delta_ssim,delta_sam
cifar,CIFAR-10,1000x32x32x3,"(24,12,12,2)",3,160,0.0001,0.0003,1e-06,2.882958000060171,32.71389020001516,0.121466226875782,-12.884862229406307,18.310889568272277,0.8685285536092351,6.608097564078186,0.119097463786602,-13.055922614952667,18.48194982731565,0.8742178810598747,5.920643403259566,1.9501413274345127,0.1710603855463581,0.1710602590433758,0.0056893274506396,0.6874541608186195
cifar,CIFAR-10,1000x32x32x3,"(24,12,12,2)",4,180,7e-05,0.0002,1e-06,2.882958000060171,38.38675050006714,0.121466226875782,-12.884862229406307,18.310889568272277,0.8685285536092351,6.608097564078186,0.1190574392676353,-13.05884199664295,18.484869447430743,0.8743199888898718,5.911895307530831,1.983092477722244,0.1739797672366414,0.1739798791584696,0.0057914352806367,0.6962022565473553
cifar,CIFAR-10,1000x32x32x3,"(24,12,12,2)",3,220,7e-05,0.0002,1e-07,2.882958000060171,43.78651430003811,0.121466226875782,-12.884862229406307,18.310889568272277,0.8685285536092351,6.608097564078186,0.1190995797514915,-13.055767950645054,18.4817949788818,0.8742161211246325,5.923600040159371,1.9483993083202695,0.1709057212387446,0.1709054106095244,0.0056875675153974,0.6844975239188145
cifar,CIFAR-10,1000x32x32x3,"(32,12,12,2)",2,160,0.0001,0.0003,1e-06,2.953795599984005,30.949040799983777,0.1126664131879806,-13.538083180578376,18.96411073055298,0.8889251149504946,6.497804231968414,0.1121162995696067,-13.580597259210466,19.006624560614327,0.8900831668266237,5.98900991618719,0.4882676236936931,0.0425140786320881,0.0425138300613454,0.001158051876129,0.5087943157812234
cifar,CIFAR-10,1000x32x32x3,"(32,12,12,2)",3,160,0.0001,0.0003,1e-06,2.953795599984005,32.97741839999799,0.1126664131879806,-13.538083180578376,18.96411073055298,0.8889251149504946,6.497804231968414,0.1100741475820541,-13.740266121798946,19.1662937885656,0.8944912616524019,5.739503839631528,2.3008326373196897,0.2021829412205686,0.2021830580126149,0.0055661467019072,0.7583003923368858
cifar,CIFAR-10,1000x32x32x3,"(32,12,12,2)",4,180,7e-05,0.0002,1e-06,2.953795599984005,39.07567219994962,0.1126664131879806,-13.538083180578376,18.96411073055298,0.8889251149504946,6.497804231968414,0.1099990978837013,-13.746190150268578,19.172217679985767,0.8946528445708899,5.720992720453652,2.367444945486095,0.2081069696902009,0.2081069494327856,0.0057277296203952,0.7768115115147616
cifar,CIFAR-10,1000x32x32x3,"(32,12,12,2)",3,220,7e-05,0.0002,1e-07,2.953795599984005,43.95619910000824,0.1126664131879806,-13.538083180578376,18.96411073055298,0.8889251149504946,6.497804231968414,0.1100801974534988,-13.739788797402673,19.165816116307116,0.8944819144400121,5.742290164526305,2.2954629168559624,0.2017056168242934,0.2017053857541313,0.0055567994895174,0.7555140674421086
cifar,CIFAR-10,1000x32x32x3,"(24,16,16,2)",2,160,0.0001,0.0003,1e-06,3.466552400030196,32.60312670003623,0.121234118938446,-12.901475641027837,18.32750332810588,0.8690962845147319,6.629728134888035,0.120897889137268,-12.925598206096849,18.351625841839343,0.8699015067348491,6.322841620132044,0.277339254099493,0.0241225650690122,0.0241225137334666,0.0008052222201172,0.3068865147559911
cifar,CIFAR-10,1000x32x32x3,"(24,16,16,2)",3,160,0.0001,0.0003,1e-06,3.466552400030196,34.46086530003231,0.121234118938446,-12.901475641027837,18.32750332810588,0.8690962845147319,6.629728134888035,0.1188450381159782,-13.074351672800294,18.500379304232982,0.8748152382867527,5.929157779609462,1.9706340454214928,0.1728760317724589,0.1728759761271057,0.0057189537720208,0.7005703552785727
cifar,CIFAR-10,1000x32x32x3,"(24,16,16,2)",4,180,7e-05,0.0002,1e-06,3.466552400030196,40.63635229994543,0.121234118938446,-12.901475641027837,18.32750332810588,0.8690962845147319,6.629728134888035,0.1188017576932907,-13.077515145210215,18.503542304688036,0.8749253747540514,5.920228237479125,2.006333915281978,0.1760395041823823,0.1760389765821557,0.0058290902393195,0.70949989740891
